,0
0,Tokyo Ghoul
1,Akame ga Kill!
2,One-Punch Man
3,Bungo Stray Dogs
4,Blue Exorcist
5,Elfen Lied
6,Mob Psycho 100
7,Hunter x Hunter
8,Dragon Ball
9,Naruto
10,Dragon Ball Z
11,InuYasha
12,One Piece
13,Kaguya-sama: Love is War
14,Psycho-Pass
15,Parasyte -the maxim-
16,Berserk
17,Blood Blockade Battlefront
18,Guilty Crown
19,Made In Abyss
20,The Agency
21,Quantico
22,The Enemy Within
23,Archer
24,Messiah
25,Scorpion
26,The Blacklist
27,Chuck
28,Tom Clancy's  Jack Ryan
29,Taken
30,American Dad!
31,Fauda
32,Condor
33,Covert Affairs
34,Berlin Station
35,24: Legacy
36,CHAOS
37,Jake 2.0
38,The Looming Tower
39,Allegiance
40,Almost Human
41,Humans
42,Are You Human?
43,Terminator: The Sarah Connor Chronicles
44,Wanted: Dead or Alive
45,Deadwood
46,Little House on the Prairie
47,12 Monkeys
48,Bonanza
49,Dark Matter
50,Laramie
51,Mystery Science Theater 3000
52,The Transformers
53,Cobra Kai
54,Shooter
55,K.C. Undercover
56,Bates Motel
57,Andromeda
58,Rapunzel's Tangled Adventure
59,Dexter's Laboratory
60,Raven's Home
61,CSI: Miami
62,Sam & Cat
63,Perry Mason
64,The Grim Adventures of Billy and Mandy
65,grown-ish
66,The Originals
67,Legacies
68,Mayans M.C.
69,CSI: NY
70,Angel
71,Station 19
72,Breaking Bad
73,Girl Meets World
74,Chicago Med
75,Chicago P.D.
76,DC's Legends of Tomorrow
77,NCIS: Los Angeles
78,Vis a Vis: El Oasis
79,NCIS: New Orleans
80,To Love-Ru
81,Highschool of the Dead
82,Blue Exorcist
83,Assassination Classroom
84,Akame ga Kill!
85,Naruto Shippūden
86,Bleach
87,We Never Learn: BokuBen
88,Hunter x Hunter
89,Dragon Ball
90,Naruto
91,Fullmetal Alchemist: Brotherhood
92,Mob Psycho 100
93,Gintama
94,Dragon Ball Z
95,One Piece
96,Death Note
97,InuYasha
98,Katanagatari
99,Black Butler
100,Young Justice
101,Titans
102,DC's Legends of Tomorrow
103,Legion of Super Heroes
104,Teen Titans Go!
105,Teen Titans
106,Lois & Clark: The New Adventures of Superman
107,Batman: The Animated Series
108,Batman
109,Smallville
110,The Flash
111,Doom Patrol
112,Supergirl
113,Marvel's The Defenders
114,The Flash
115,Wonder Woman
116,Justice League Action
117,Green Lantern: The Animated Series
118,Marvel's Ultimate Spider-Man
119,Preacher
120,The Wayans Bros.
121,2 Broke Girls
122,We Never Learn: BokuBen
123,The Wonder Years
124,It's Always Sunny in Philadelphia
125,The Nanny
126,Frasier
127,Full House
128,Toradora!
129,Boy Meets World
130,Love 101
131,Fresh Off the Boat
132,Kaguya-sama: Love is War
133,Two and a Half Men
134,Gleipnir
135,Meteor Garden
136,Beastars
137,What I Like About You
138,Itaewon Class
139,Your Lie in April
140,NCIS: Los Angeles
141,Pretty Little Liars: The Perfectionists
142,Undressed
143,Knots Landing
144,grown-ish
145,Joey
146,Dragnet
147,Mannix
148,Emergency!
149,Legacies
150,Lethal Weapon
151,The L Word
152,Totally Spies!
153,Mayans M.C.
154,CSI: NY
155,24
156,"Beverly Hills, 90210"
157,Numb3rs
158,The Originals
159,CSI: Miami
160,Alfred Hitchcock Presents
161,American Horror Story
162,Castle Rock
163,Slasher
164,Lux Video Theatre
165,Matinee Theater
166,Robert Montgomery Presents
167,Philip K. Dick's Electric Dreams
168,The Haunting
169,Fargo
170,The Sinner
171,American Crime Story
172,Goosebumps
173,Black Mirror
174,"Hi Bye, Mama!"
175,True Detective
176,Kamen Rider
177,The Twilight Zone
178,The New Alfred Hitchcock Presents
179,"Love, Death & Robots"
180,The Enemy Within
181,Covert Affairs
182,Berlin Station
183,Allegiance
184,CHAOS
185,Snowfall
186,El Chapo
187,Airwolf
188,The Americans
189,K.C. Undercover
190,Nikita
191,MacGyver
192,Messiah
193,Totally Spies!
194,Whiskey Cavalier
195,The Sinner
196,Peaky Blinders
197,Narcos
198,Shameless
199,Breaking Bad
200,The Wayans Bros.
201,Frasier
202,Bob's Burgers
203,Shameless
204,Boy Meets World
205,The Middle
206,How I Met Your Mother
207,Two and a Half Men
208,Married... with Children
209,Cheers
210,Malcolm in the Middle
211,Everybody Loves Raymond
212,Friday Night Dinner
213,What I Like About You
